pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,usage_information,classify,price
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,2.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,,< 128 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Core i5,32 GB,NVIDIA,250 GB,Việt Nam,In trên bao bì,desktop,10.000.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,In trên bao bì,desktop,5.850.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Core i7,8 GB,,320 GB,Mỹ,In trên bao bì,desktop,5.550.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,2.750.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Việt Nam,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,>= 21 inch,Intel Core i3,16 GB,NVIDIA,250 GB,Đang cập nhật,In trên bao bì,desktop,11.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,10.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,16 GB,NVIDIA,750 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,100.000 đ
,,Mới,Hết bảo hành,19 - 20.9 inch,Intel Core i3,> 32GB,Khác,< 128 GB,Việt Nam,In trên bao bì,desktop,5.555.555 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,AMD,500 GB,Mỹ,In trên bao bì,desktop,4.900.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Xeon,32 GB,AMD,1 TB,Việt Nam,In trên bao bì,desktop,7.500.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,512 GB,Trung Quốc,In trên bao bì,desktop,7.990.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,3.800.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,AMD,128 GB,Việt Nam,In trên bao bì,desktop,3.400.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i3,8 GB,NVIDIA,< 128 GB,Việt Nam,In trên bao bì,desktop,1.700.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Việt Nam,In trên bao bì,desktop,2.400.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,500 GB,Đang cập nhật,In trên bao bì,desktop,1.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Xeon,32 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,desktop,7.200.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,AMD,256 GB,Trung Quốc,In trên bao bì,desktop,5.300.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,,Khác,256 GB,Việt Nam,In trên bao bì,desktop,8.800.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,,Đang cập nhật,In trên bao bì,desktop,400.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i7,32 GB,NVIDIA,1 TB,Nước khác,In trên bao bì,desktop,27.200.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Nhật Bản,In trên bao bì,desktop,4.800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,250 GB,Mỹ,In trên bao bì,desktop,2.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i3,8 GB,NVIDIA,< 128 GB,Nước khác,In trên bao bì,desktop,3.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,16 GB,,500 GB,Đang cập nhật,In trên bao bì,desktop,1.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i3,8 GB,AMD,128 GB,Việt Nam,In trên bao bì,desktop,5.499.999 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,3.850.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.000.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i7,8 GB,Onboard,256 GB,Nước khác,In trên bao bì,desktop,990.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Nước khác,In trên bao bì,desktop,7.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,1.450.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Khác,128 GB,Hàn Quốc,In trên bao bì,desktop,1.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,16 GB,NVIDIA,250 GB,Đang cập nhật,In trên bao bì,desktop,6.500.000 đ
