Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,10.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Mỹ,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,24.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,9.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core 2 Duo,4 GB,320 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,,Bảo hành hãng,Đang cập nhật,3.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,32 GB,1 TB,,AMD,15 - 16.9 inch,3 tháng,Mỹ,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Còn bảo hành,Đang cập nhật,4.799.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,11 - 12.9 inch,Hết bảo hành,Nhật Bản,1.750.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,7.590.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 9,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Nước khác,22.999.999 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,250 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Mỹ,4.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,2.200.000 đ
Đã sử dụng (chưa sửa chữa),MSI,,,,,,,Bảo hành hãng,Đang cập nhật,15.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Mỹ,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,32 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,7.000.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,4.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,6.490.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,2.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core 2 Duo,4 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core 2 Duo,4 GB,,,,,Bảo hành hãng,Mỹ,750.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i7,16 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Mỹ,17.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,16 GB,1 TB,,Onboard,13 - 14.9 inch,4-6 tháng,Đang cập nhật,26.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Khác,,,,,,Bảo hành hãng,Đang cập nhật,1.390.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.650.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i7,16 GB,256 GB,,,,Hết bảo hành,Trung Quốc,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i3,4 GB,,,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,256 GB,,AMD,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,8.600.000 đ
Đã sử dụng (chưa sửa chữa),Sony,,,,,,,Bảo hành hãng,Đang cập nhật,2.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Nước khác,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,9.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Việt Nam,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,250 GB,,,,Bảo hành hãng,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Nhật Bản,3.690.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,14.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,5.390.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,4 GB,320 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,580.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,6 GB,250 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Nước khác,1.699.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,1.000.000 đ
Đã sử dụng (qua sửa chữa),Lenovo,Intel Core i5,16 GB,250 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đài Loan,4.300.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i5,4 GB,250 GB,,Onboard,13 - 14.9 inch,1 tháng,Nhật Bản,3.900.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Ryzen 5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Celeron,2 GB,500 GB,,Onboard,17 - 18.9 inch,Hết bảo hành,Nhật Bản,2.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Atom,16 GB,512 GB,,Onboard,,Bảo hành hãng,Đang cập nhật,6.789.100 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,16 GB,256 GB,,NVIDIA,,Bảo hành hãng,Đang cập nhật,9.000.000 đ
Mới,Lenovo,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,1 TB,,Khác,13 - 14.9 inch,Hết bảo hành,Mỹ,24.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Xeon,32 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Mỹ,17.000.000 đ
Mới,Acer,Ryzen 5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,11.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,1 tháng,Nhật Bản,4.900.000 đ
