Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,,13 - 14.9 inch,3 tháng,Mỹ,3.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,8 GB,256 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,7.990.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 3,4 GB,512 GB,,AMD,15 - 16.9 inch,3 tháng,Việt Nam,5.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,4 GB,256 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,2.800.000 đ
Mới,Acer,Intel Celeron,4 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Trung Quốc,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Khác,8 GB,512 GB,,,13 - 14.9 inch,4-6 tháng,Trung Quốc,9.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,500 GB,,,< 9 inch,Bảo hành hãng,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,1 TB,,AMD,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,1.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,,13 - 14.9 inch,1 tháng,Đang cập nhật,7.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,3.500.000 đ
Mới,Apple,Khác,16 GB,512 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,34.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,Khác,15 - 16.9 inch,Hết bảo hành,Mỹ,14.500.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đài Loan,9.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,1 TB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,6.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 7,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đài Loan,14.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,32 GB,256 GB,,Khác,15 - 16.9 inch,Còn bảo hành,Nước khác,16.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,8 GB,256 GB,,,11 - 12.9 inch,1 tháng,Đang cập nhật,6.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,8.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,8 GB,250 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,4.799.999 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,13.500.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i5,4 GB,250 GB,,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,4.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,16 GB,256 GB,,,13 - 14.9 inch,Còn bảo hành,Việt Nam,28.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,15.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,28.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,7.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i9,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,4-6 tháng,Mỹ,13.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Pentium,4 GB,500 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Trung Quốc,1.650.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,22.790.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,5.000.000 đ
Đã sử dụng (qua sửa chữa),Acer,Intel Core i3,4 GB,750 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,20.300.000 đ
Mới,Microsoft,Intel Core i5,8 GB,256 GB,,,15 - 16.9 inch,3 tháng,Việt Nam,10.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,,15 - 16.9 inch,Bảo hành hãng,Nhật Bản,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,128 GB,,NVIDIA,,Bảo hành hãng,Đang cập nhật,6.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,< 128 GB,,Khác,13 - 14.9 inch,1 tháng,Nước khác,2.190.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,14.590.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,8 GB,128 GB,,,,1 tháng,Đang cập nhật,3.350.000 đ
Đã sử dụng (qua sửa chữa),Lenovo,Intel Celeron,2 GB,320 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Nước khác,500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Khác,11 - 12.9 inch,3 tháng,Đang cập nhật,4.450.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Việt Nam,21.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,4 GB,250 GB,,,,Bảo hành hãng,Đang cập nhật,999.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Atom,1 GB,128 GB,,,9 - 10.9 inch,Bảo hành hãng,Đang cập nhật,800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,14.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Nhật Bản,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,14.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,11.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Celeron,8 GB,128 GB,,Onboard,15 - 16.9 inch,1 tháng,Mỹ,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,5.100.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i9,32 GB,1 TB,,NVIDIA,15 - 16.9 inch,7-12 tháng,Đang cập nhật,18.500.000 đ
Mới,Dell,,,,,,,Bảo hành hãng,Mỹ,9.700.000 đ
Đã sử dụng (qua sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i3,2 GB,500 GB,,,,Bảo hành hãng,Đang cập nhật,450.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,2 tháng,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,8 GB,< 128 GB,,Khác,15 - 16.9 inch,Bảo hành hãng,Việt Nam,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Đang cập nhật,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,4 GB,,,,,Bảo hành hãng,Đang cập nhật,1.400.000 đ
Đã sử dụng (qua sửa chữa),Apple,AMD,4 GB,500 GB,,Onboard,15 - 16.9 inch,1 tháng,Đang cập nhật,2.200.000 đ
Mới,Dell,Intel Core i7,8 GB,256 GB,,,13 - 14.9 inch,3 tháng,Đang cập nhật,9.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,7.290.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,Onboard,15 - 16.9 inch,1 tháng,Đang cập nhật,3.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,6 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Nhật Bản,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,3.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Mỹ,13.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,500 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,9.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,128 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,8 GB,256 GB,,,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,7.000.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,,,4-6 tháng,Nhật Bản,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,,,,,,Bảo hành hãng,Đang cập nhật,3.850.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,2.000.000 đ
Mới,HP,,,,,,,3 tháng,Đang cập nhật,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Việt Nam,8.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,16 GB,256 GB,,,13 - 14.9 inch,4-6 tháng,Mỹ,21.490.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Panasonic,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Nhật Bản,3.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,,13 - 14.9 inch,4-6 tháng,Mỹ,22.990.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,13.390.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,8 GB,,,NVIDIA,15 - 16.9 inch,7-12 tháng,Đang cập nhật,4.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,,13 - 14.9 inch,1 tháng,Đang cập nhật,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,32 GB,512 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,33.490.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,3.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,128 GB,,Onboard,11 - 12.9 inch,1 tháng,Mỹ,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,1 tháng,Nhật Bản,3.700.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,15.600.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Ryzen 7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Việt Nam,16.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,9.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,11.490.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,,13 - 14.9 inch,1 tháng,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,250 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,512 GB,,Khác,15 - 16.9 inch,Hết bảo hành,Việt Nam,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,4 GB,1 TB,,Onboard,15 - 16.9 inch,Hết bảo hành,Nhật Bản,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,7-12 tháng,Nước khác,18.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,500 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Mỹ,1.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,2.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,13.990.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,320 GB,,Onboard,9 - 10.9 inch,Bảo hành hãng,Đài Loan,950.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,16 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,8.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,11.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,128 GB,,Onboard,11 - 12.9 inch,3 tháng,Mỹ,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i5,8 GB,128 GB,,Onboard,15 - 16.9 inch,3 tháng,Nhật Bản,3.400.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,5.200.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Còn bảo hành,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i5,4 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Nhật Bản,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,4-6 tháng,Đang cập nhật,5.700.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,16 GB,512 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,32.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Khác,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,5.999.999 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,AMD,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,8.400.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i3,8 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,4 GB,,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Ryzen 5,8 GB,512 GB,,AMD,15 - 16.9 inch,7-12 tháng,Việt Nam,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Ryzen 5,8 GB,512 GB,,AMD,15 - 16.9 inch,7-12 tháng,Việt Nam,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,6.700.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,16 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,6.900.000 đ
Đã sử dụng (qua sửa chữa),Asus,Intel Core i3,4 GB,320 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,512 GB,,,,Bảo hành hãng,Đang cập nhật,18.600.000 đ
Mới,Hãng Khác,,,,,,,Bảo hành hãng,Việt Nam,3.400.000 đ
Đã sử dụng (chưa sửa chữa),HP,Ryzen 5,8 GB,128 GB,,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,10.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,256 GB,,,,Bảo hành hãng,Đang cập nhật,7.390.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,8 GB,128 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Nước khác,3.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,4 GB,256 GB,,Onboard,15 - 16.9 inch,1 tháng,Đang cập nhật,5.800.000 đ
Mới,Asus,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Nước khác,17.990.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,5.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Ryzen 5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,14.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,250 GB,,Khác,15 - 16.9 inch,4-6 tháng,Nước khác,1.700.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,12.900.000 đ
Mới,HP,Intel Core i7,16 GB,512 GB,,AMD,15 - 16.9 inch,Hết bảo hành,Việt Nam,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,,,,,,,Bảo hành hãng,Đang cập nhật,7.390.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,4 GB,500 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,2.450.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,12.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,512 GB,,Onboard,13 - 14.9 inch,>12 tháng,Việt Nam,13.999.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,Khác,11 - 12.9 inch,Hết bảo hành,Đang cập nhật,3.333.333 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,9.000.000 đ
Mới,Hãng Khác,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,16.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,5.999.999 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Khác,13 - 14.9 inch,Còn bảo hành,Việt Nam,3.150.000 đ
Mới,Dell,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Việt Nam,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Panasonic,Intel Core i5,8 GB,256 GB,,,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,4.450.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,< 128 GB,,Onboard,11 - 12.9 inch,1 tháng,Đang cập nhật,5.555.555 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,8 GB,500 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đài Loan,14.500.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i7,32 GB,256 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Mỹ,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,5.300.000 đ
Mới,Asus,,,,,,,Bảo hành hãng,Việt Nam,37.990.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,3.900.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,7.990.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i3,4 GB,250 GB,,,,2 tháng,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i7,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đài Loan,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,500 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Việt Nam,9.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,6.500.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,8.500.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i7,32 GB,256 GB,,NVIDIA,15 - 16.9 inch,Hết bảo hành,Mỹ,6.600.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,,,,,,Bảo hành hãng,Đang cập nhật,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Nước khác,6.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,4.999.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,128 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Việt Nam,3.200.000 đ
Đã sử dụng (qua sửa chữa),Acer,Intel Core i3,1 GB,,,,,Bảo hành hãng,Đang cập nhật,400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,,13 - 14.9 inch,Hết bảo hành,Việt Nam,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,7.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,7.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,8.900.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,7.800.000 đ
