,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
80,desktop,desktop,Mới,1,0,Intel Core i5,32.0,NVIDIA,1500,Nước khác,desktop,19.900.000 đ
81,desktop,desktop,Mới,3,0,Intel Core i5,16.0,NVIDIA,128,Việt Nam,desktop,11.830.000 đ
82,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,5.800.000 đ
83,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,1.490.000 đ
84,desktop,desktop,Mới,1,21,Intel Core i5,8.0,Onboard,256,Nhật Bản,desktop,7.500.000 đ
85,desktop,desktop,Mới,1,0,Intel Xeon,32.0,NVIDIA,512,Việt Nam,desktop,6.500.000 đ
86,desktop,desktop,Đã sử dụng (qua sửa chữa),1,0,Intel Core i7,8.0,NVIDIA,128,Nước khác,desktop,3.750.000 đ
87,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,250,Nước khác,desktop,3.600.000 đ
88,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,4.700.000 đ
89,desktop,desktop,Mới,1,21,Intel Xeon,32.0,AMD,256,Nước khác,desktop,8.000.000 đ
90,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,250,Nước khác,desktop,3.700.000 đ
91,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,8.0,NVIDIA,128,Việt Nam,desktop,6.700.000 đ
92,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Xeon,32.0,NVIDIA,128,Nước khác,desktop,7.000.000 đ
93,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,16.0,AMD,256,Hàn Quốc,desktop,3.990.000 đ
94,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,32.0,NVIDIA,256,Việt Nam,desktop,2.350.000 đ
95,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i7,16.0,AMD,1000,Nước khác,desktop,6.000.000 đ
96,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,32.0,Onboard,512,Mỹ,desktop,6.000.000 đ
97,desktop,desktop,Đã sử dụng (qua sửa chữa),0,0,Intel Core i7,8.0,Onboard,128,Nước khác,desktop,2.250.000 đ
98,desktop,desktop,Mới,0,21,Intel Core i5,16.0,NVIDIA,256,Nước khác,desktop,7.890.000 đ
99,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,4.0,Onboard,128,Việt Nam,desktop,4.500.000 đ
100,desktop,desktop,Mới,9,0,Intel Xeon,64.0,AMD,256,Trung Quốc,desktop,4.700.000 đ
101,desktop,desktop,Mới,1,0,Intel Core i5,32.0,NVIDIA,512,Việt Nam,desktop,25.300.000 đ
102,desktop,desktop,Mới,12,21,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,5.500.000 đ
103,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.800.000 đ
104,desktop,desktop,Mới,1,21,Intel Xeon,64.0,NVIDIA,500,Việt Nam,desktop,10.500.000 đ
105,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i7,16.0,NVIDIA,250,Việt Nam,desktop,6.500.000 đ
106,desktop,desktop,Đã sử dụng (qua sửa chữa),0,0,Intel Core i7,8.0,NVIDIA,128,Nước khác,desktop,1.900.000 đ
