,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price (VND),pc_cpu_label
202,15,101,1,0,0,12,4.0,2,500,3,0,550000.0,2
203,15,101,1,1,21,14,16.0,1,500,4,0,3800000.0,2
204,15,101,1,12,21,14,16.0,0,256,0,0,7500000.0,2
205,15,101,1,2,21,9,16.0,1,128,6,0,4800000.0,2
206,15,101,1,1,20,9,8.0,2,128,6,0,2700000.0,2
207,15,101,1,3,0,9,16.0,2,512,1,0,2400000.0,2
208,15,101,1,0,21,10,8.0,1,480,6,0,5900000.0,2
209,15,101,0,1,21,10,16.0,1,256,6,0,4100000.0,2
210,15,101,1,1,0,14,16.0,0,128,3,0,6400000.0,2
211,15,101,0,9,21,9,8.0,1,128,6,0,3800000.0,2
212,15,101,0,1,21,9,8.0,1,256,6,0,3800000.0,2
213,15,101,1,0,21,8,8.0,1,250,5,0,4000000.0,2
214,15,101,1,0,16,9,8.0,1,1000,6,0,2000000.0,2
215,15,101,1,0,0,8,4.0,2,1000,3,0,1900000.0,2
216,15,101,1,0,16,9,8.0,1,128,6,0,1500000.0,2
217,15,101,0,0,0,8,8.0,2,250,6,0,8500000.0,2
218,15,101,1,1,20,6,4.0,2,500,6,0,1500000.0,2
219,15,101,0,1,0,11,32.0,2,500,6,0,49890000.0,2
220,15,101,1,12,0,9,32.0,1,1000,6,0,18750000.0,2
221,15,101,1,0,0,9,8.0,2,250,3,0,2350000.0,2
222,15,101,0,1,0,9,16.0,1,256,6,0,7700000.0,2
223,15,101,1,0,20,8,16.0,2,128,3,0,4500000.0,2
224,15,101,0,1,0,11,32.0,1,512,6,0,48490000.0,2
225,15,101,1,1,20,9,8.0,1,256,6,0,3900000.0,2
226,15,101,1,0,21,17,16.0,1,250,3,0,4868686.0,0
227,15,101,1,1,0,14,16.0,0,256,3,0,5000000.0,2
228,15,101,0,1,0,11,32.0,1,500,6,0,40990000.0,2
229,15,101,1,1,21,9,16.0,1,500,1,0,4290000.0,2
230,15,101,1,0,20,6,1.0,2,320,5,0,1000000.0,2
231,15,101,1,1,21,10,8.0,1,128,6,0,5500000.0,2
232,15,101,1,1,0,14,16.0,0,256,3,0,5600000.0,2
233,15,101,1,1,0,10,32.0,0,500,6,0,27490000.0,2
234,15,101,1,1,21,9,16.0,1,256,3,0,15000000.0,2
235,15,101,1,0,21,14,32.0,1,1500,6,0,10800000.0,2
236,15,101,1,0,0,9,8.0,2,320,3,0,300000.0,2
237,15,101,1,1,21,9,32.0,2,1000,6,0,35000000.0,2
238,15,101,1,1,0,14,64.0,0,512,1,0,7500000.0,2
239,15,101,1,3,0,10,16.0,2,512,1,0,4000000.0,2
240,15,101,0,1,0,9,16.0,1,512,6,0,13290000.0,2
241,15,101,1,1,0,9,8.0,1,128,3,0,2500000.0,2
242,15,101,1,0,20,14,8.0,1,128,3,0,2000000.0,2
243,15,101,1,3,20,8,8.0,2,120,2,0,2300000.0,2
244,15,101,0,1,0,10,16.0,1,512,6,0,22790000.0,2
245,15,101,1,0,0,8,8.0,2,128,3,0,3500000.0,2
246,15,101,1,0,0,9,4.0,2,320,3,0,1800000.0,2
247,15,101,1,1,0,9,8.0,0,256,6,0,3850000.0,2
248,15,101,0,1,0,9,16.0,1,500,6,0,15890000.0,2
249,15,101,1,0,20,8,4.0,2,128,6,0,3000000.0,2
250,15,101,1,0,0,9,8.0,2,256,3,0,4200000.0,2
251,15,101,1,1,0,11,32.0,1,512,6,0,20990000.0,2
252,15,101,1,3,0,9,8.0,2,128,2,0,1000000.0,2
253,15,101,1,0,21,9,8.0,2,120,3,0,3900000.0,2
254,15,101,1,1,21,14,32.0,0,128,6,0,3900000.0,2
255,15,101,0,1,0,11,32.0,1,1000,6,0,32090000.0,2
256,15,101,1,0,0,7,4.0,2,500,3,0,1100000.0,2
257,15,101,1,1,0,14,16.0,1,120,5,0,2999000.0,2
258,15,101,1,0,20,9,8.0,2,500,6,0,1900000.0,2
259,15,101,1,1,20,9,8.0,2,128,6,0,2300000.0,2
260,15,101,1,3,0,9,8.0,1,128,3,0,2300000.0,2
261,15,101,1,1,0,9,32.0,1,1000,6,0,20220000.0,2
262,15,101,1,1,0,9,8.0,1,250,6,0,7740000.0,2
263,15,101,1,1,21,9,16.0,2,128,3,0,6500000.0,2
264,15,101,1,1,20,14,32.0,2,1000,3,0,8000000.0,2
265,15,101,1,1,21,8,8.0,2,256,6,0,3200000.0,2
266,15,101,1,5,21,9,16.0,2,256,3,0,10500000.0,2
267,15,101,0,1,0,11,64.0,1,500,6,0,27990000.0,2
268,15,101,0,1,0,9,16.0,1,512,6,0,22990000.0,2
269,15,101,1,0,20,9,16.0,2,256,3,0,4500000.0,2
270,15,101,1,1,20,9,16.0,0,120,3,0,3900000.0,2
271,15,101,1,5,21,9,16.0,2,1000,1,0,37500000.0,2
272,15,101,1,3,21,9,8.0,1,128,3,0,4000000.0,2
273,15,101,0,12,21,9,8.0,1,256,6,0,6800000.0,2
274,15,101,1,0,0,14,16.0,2,500,3,0,8700000.0,2
275,15,101,0,9,21,12,8.0,2,128,3,0,1650000.0,2
276,15,101,1,0,0,9,8.0,2,120,3,0,1300000.0,2
277,15,101,1,1,0,9,16.0,1,500,3,0,24990000.0,2
278,15,101,1,1,21,10,16.0,1,1500,3,0,6500000.0,2
279,15,101,1,0,0,8,6.0,2,128,3,0,1350000.0,2
280,15,101,1,1,0,10,8.0,2,250,3,0,8000000.0,2
281,15,101,0,1,0,10,32.0,1,500,6,0,27390000.0,2
282,15,101,0,12,21,8,8.0,2,128,6,0,3500000.0,2
283,15,101,1,0,0,9,16.0,2,128,3,0,6999999.0,2
284,15,101,1,1,0,9,8.0,2,128,3,0,1650000.0,2
285,15,101,0,1,0,8,16.0,1,256,3,0,10990000.0,2
286,15,101,1,0,0,9,4.0,2,128,3,0,550000.0,2
287,15,101,1,0,0,9,6.0,2,500,3,0,200000.0,2
288,15,101,1,0,21,10,16.0,2,128,3,0,4700000.0,2
289,15,101,1,0,0,9,8.0,2,256,6,0,5000000.0,2
290,15,101,1,0,21,14,32.0,1,1000,1,0,17000000.0,2
291,15,101,1,0,20,9,4.0,2,250,6,0,250000.0,2
292,15,101,1,9,21,9,6.0,2,480,4,0,2900000.0,2
293,15,101,1,0,0,9,32.0,2,500,3,0,6200000.0,2
294,15,101,1,0,21,10,8.0,2,128,3,0,5700000.0,2
295,15,101,1,1,0,9,8.0,1,256,3,0,8000000.0,2
296,15,101,1,0,0,14,64.0,2,480,3,0,4500000.0,2
297,15,101,1,2,20,9,8.0,2,128,6,0,2600000.0,2
298,15,101,1,1,21,8,8.0,1,500,6,0,7500000.0,2
299,15,101,2,0,0,12,2.0,2,128,3,0,300000.0,2
300,15,101,1,0,20,6,1.0,0,320,3,0,650000.0,2
301,15,101,1,12,21,14,32.0,0,512,2,0,7500000.0,2
302,15,101,1,0,0,12,8.0,2,128,3,0,250000.0,2
303,15,101,1,1,21,0,8.0,0,128,3,0,4300000.0,0
304,15,101,1,0,0,9,16.0,0,128,3,0,4900000.0,2
305,15,101,1,12,21,14,32.0,0,500,6,0,4000000.0,2
306,15,101,0,1,0,14,64.0,0,256,6,0,7300000.0,2
307,15,101,1,0,0,14,32.0,1,250,3,0,22000000.0,2
308,15,101,1,0,21,9,8.0,0,256,6,0,14000000.0,2
309,15,101,1,3,0,14,8.0,2,120,3,0,5890000.0,2
310,15,101,1,0,0,8,8.0,2,120,3,0,1400000.0,2
311,15,101,0,12,21,9,8.0,1,256,6,0,7500000.0,2
312,15,101,1,1,16,9,8.0,0,128,6,0,1600000.0,2
313,15,101,1,0,16,9,8.0,1,1000,3,0,2500000.0,2
314,15,101,1,0,16,12,2.0,2,128,3,0,850000.0,2
315,15,101,1,0,0,9,8.0,1,256,3,0,6300000.0,2
316,15,101,1,1,21,8,16.0,1,1000,3,0,7500000.0,2
317,15,101,0,0,0,9,16.0,2,512,6,0,8000000.0,2
318,15,101,1,0,18,12,4.0,2,320,6,0,1200000.0,2
319,15,101,1,0,0,10,8.0,2,500,3,0,3900000.0,2
320,15,101,1,1,0,9,8.0,2,128,6,0,1050000.0,2
321,15,101,1,0,0,8,8.0,2,128,3,0,2650000.0,2
322,15,101,1,0,0,10,16.0,1,250,3,0,12000000.0,2
323,15,101,1,1,21,9,8.0,2,1500,6,0,9500000.0,2
324,15,101,1,9,0,14,64.0,2,1000,3,0,12000000.0,2
325,15,101,1,0,18,9,8.0,2,128,5,0,1350000.0,2
326,15,101,1,0,0,10,16.0,2,128,3,0,4100000.0,2
327,15,101,1,0,20,8,8.0,2,128,3,0,2600000.0,2
328,15,101,1,12,21,14,16.0,0,500,8,0,4500000.0,2
329,15,101,1,12,21,14,16.0,0,500,3,0,5600000.0,2
330,15,101,1,1,16,9,8.0,2,512,6,0,9000000.0,2
331,15,101,1,0,0,9,8.0,2,250,3,0,500000.0,2
332,15,101,1,1,21,14,32.0,1,500,6,0,6600000.0,2
333,15,101,1,0,0,6,4.0,2,128,3,0,400000.0,2
334,15,101,0,0,0,14,32.0,1,128,3,0,5990000.0,2
335,15,101,1,0,0,6,6.0,2,128,3,0,1050000.0,2
336,15,101,1,1,0,9,16.0,1,500,3,0,8500000.0,2
337,15,101,1,2,21,9,16.0,1,250,6,0,8000000.0,2
338,15,101,1,9,21,9,8.0,2,120,3,0,3450000.0,2
339,15,101,1,0,0,14,8.0,1,128,3,0,4600000.0,2
340,15,101,1,0,21,14,16.0,1,256,3,0,4000000.0,2
341,15,101,1,0,21,8,8.0,2,128,3,0,2600000.0,2
342,15,101,1,1,21,9,8.0,2,256,3,0,8000000.0,2
343,15,101,1,0,0,9,8.0,2,128,3,0,3000000.0,2
344,15,101,1,0,21,8,8.0,1,128,3,0,5000000.0,2
345,15,101,0,0,0,14,32.0,1,128,6,0,2300000.0,2
346,15,101,1,12,0,8,8.0,0,128,6,0,4550000.0,2
347,15,101,1,0,21,9,8.0,1,128,6,0,7900000.0,2
348,15,101,1,0,21,8,8.0,2,128,5,0,3500000.0,2
349,15,101,1,3,0,10,8.0,2,250,1,0,3600000.0,2
350,15,101,1,1,0,12,8.0,2,128,6,0,1750000.0,2
351,15,101,1,0,0,9,4.0,2,500,3,0,2000000.0,2
352,15,101,1,0,20,8,4.0,2,128,3,0,2500000.0,2
353,15,101,1,3,20,8,8.0,2,256,3,0,2500000.0,2
354,15,101,1,0,0,14,32.0,1,120,3,0,2200000.0,2
355,15,101,1,12,0,10,32.0,1,500,3,0,17000000.0,2
356,15,101,0,1,21,9,16.0,1,256,6,0,5500000.0,2
357,15,101,1,0,0,9,8.0,2,1000,3,0,8000000.0,2
358,15,101,0,0,0,9,8.0,2,128,6,0,2300000.0,2
359,15,101,1,0,21,8,8.0,1,256,3,0,5700000.0,2
360,15,101,1,1,21,14,16.0,1,256,3,0,2999000.0,2
361,15,101,0,2,20,14,32.0,0,256,6,0,6500000.0,2
362,15,101,1,5,21,14,64.0,1,120,6,0,5000000.0,2
363,15,101,1,0,20,9,8.0,2,128,3,0,3200000.0,2
364,15,101,1,1,21,9,8.0,0,128,3,0,16500000.0,2
365,15,101,1,0,18,6,4.0,2,250,3,0,1500000.0,2
366,15,101,1,1,21,14,16.0,0,256,3,0,7400000.0,2
367,15,101,0,0,0,14,64.0,1,256,6,0,6500000.0,2
368,15,101,1,0,18,9,8.0,2,128,3,0,1700000.0,2
369,15,101,1,0,0,9,8.0,2,256,3,0,3900000.0,2
370,15,101,1,0,0,10,16.0,2,1000,3,0,7200000.0,2
371,15,101,1,0,0,14,64.0,1,512,6,0,7900000.0,2
372,15,101,1,1,21,9,16.0,0,1000,3,0,6500000.0,2
373,15,101,1,0,21,8,8.0,1,128,6,0,1800000.0,2
374,15,101,1,0,0,9,64.0,2,128,3,0,6800000.0,2
375,15,101,0,12,21,9,8.0,1,250,5,0,6500000.0,2
376,15,101,1,1,20,8,8.0,1,250,3,0,2000000.0,2
377,15,101,1,3,0,9,8.0,2,256,3,0,2800000.0,2
